id,salary,age,name,gender,company,email,productCode,occupation,smoker,term,premium,sumassured,paymentType,policyStatus
0,3299,36,Mckenzie Patterson,male,QUILTIGEN,mckenziepatterson@quiltigen.com,AAA,AC,No,7,299,213634,DD,0
1,1151,60,Fay Velez,female,ASSITIA,fayvelez@assitia.com,AAA,AC,Yes,22,87,124246,DD,0
2,2312,43,Laurie Vazquez,female,ZOINAGE,laurievazquez@zoinage.com,DDDD,AB,Yes,11,197,214479,Card,0
3,1108,43,Lucia Crawford,female,POLARIA,luciacrawford@polaria.com,CCC,AB,No,26,27,113580,DD,0
4,1172,45,Briggs Benjamin,male,ENDICIL,briggsbenjamin@endicil.com,CCC,AC,Yes,10,172,292273,DD,0
5,1663,55,Benita Jenkins,female,EXOSWITCH,benitajenkins@exoswitch.com,BBB,AC,No,5,65,219445,DD,1
6,1508,50,Hurst Mitchell,male,KIDGREASE,hurstmitchell@kidgrease.com,CCC,AA,Yes,26,51,163168,DD,1
7,3832,59,Owen Brewer,male,UNISURE,owenbrewer@unisure.com,BBB,AB,No,52,287,76620,DD,1
8,1911,57,Yvette Carr,female,ISOLOGICA,yvettecarr@isologica.com,DDDD,AB,No,32,159,146775,Card,0
9,3115,44,Gomez Good,male,APEXTRI,gomezgood@apextri.com,CCC,AD,Yes,48,284,191820,DD,1
10,2210,46,Rhodes Rosa,male,EXTRO,rhodesrosa@extro.com,DDDD,AA,No,59,290,208724,Card,1
11,1422,24,Robyn Manning,female,EVEREST,robynmanning@everest.com,DDDD,AC,No,29,117,41397,Card,1
12,2061,43,Martinez Key,male,EXTRAGENE,martinezkey@extragene.com,CCC,AD,Yes,12,11,38910,DD,0
13,2992,29,York Glenn,male,BEDDER,yorkglenn@bedder.com,AAA,AB,No,10,256,172289,Card,1
14,2168,50,Miranda Powers,female,ONTALITY,mirandapowers@ontality.com,AAA,AA,No,43,47,175417,Card,0
15,1434,43,Patel Blackwell,male,CORPULSE,patelblackwell@corpulse.com,AAA,AB,Yes,53,46,100045,DD,0
16,2751,36,Beard Mccall,male,KOOGLE,beardmccall@koogle.com,DDDD,AD,Yes,39,144,226072,Card,0
17,2857,26,Cole Tyson,male,ISOLOGIX,coletyson@isologix.com,BBB,AC,Yes,22,46,156425,Card,1
18,1277,29,Frankie Flynn,female,ZILLATIDE,frankieflynn@zillatide.com,CCC,AB,Yes,40,117,186739,Card,0
19,2468,30,Vazquez Joyner,male,INSURETY,vazquezjoyner@insurety.com,DDDD,AA,Yes,24,296,207249,Card,0
20,3426,55,Dillard Bullock,male,TECHTRIX,dillardbullock@techtrix.com,DDDD,AB,No,34,13,91031,DD,0
21,1868,41,Mullins Donaldson,male,PAPRICUT,mullinsdonaldson@papricut.com,BBB,AD,No,18,278,15204,DD,0
22,1052,54,Allen Carney,male,ZIZZLE,allencarney@zizzle.com,AAA,AD,No,33,266,75762,DD,1
23,1065,44,Josie Cochran,female,LUXURIA,josiecochran@luxuria.com,DDDD,AD,No,48,45,287010,Card,0
24,2858,46,Lidia Mayer,female,QUINEX,lidiamayer@quinex.com,DDDD,AA,Yes,55,293,235379,Card,0
